categoria,codigo,descricao,unidade,preco_unitario
equipamento_informatica,108,"TV LED DE 50""","Diária","95,28"
equipamento_informatica,109,"Totem Torre Carregador De Celular","Diária","52,81"
equipamento_informatica,110,"Wireless - Implantação de Infraestrutura de Transmissão de Dados Sem Fios","Diária",0
material_grafico_expediente,111,"Crachá com cordão",Unidade,"4,57"
material_grafico_expediente,112,"Camiseta Tradicional Serigrafia Policromática Frente e/ou Costas",Unidade,"30,63"
material_grafico_expediente,113,"Copo - Kit promocional",Unidade,0
material_grafico_expediente,114,"Comunicação Visual em lona",M2,"111,53"
material_grafico_expediente,115,"Credencial com cordão",Unidade,0
material_grafico_expediente,116,"Flip Chart","Diária","25,73"
material_grafico_expediente,117,"Pins/Boton - Serviço de Produção de artefatos em metal",Unidade,0
material_grafico_expediente,118,"Sacola - ecobags - Kit promocional",Unidade,0
material_grafico_expediente,119,"Serviço de impressão de etiquetas",Unidade,"3,89"
montagem_decoracao,1,"Alambrado /Grade Proteção/Guarda Corpo","metro linear/dia","18,62"
montagem_decoracao,2,"Ambulância Básica (Serviço de assistência de saúde)","Diária","1.166,09"
montagem_decoracao,3,"Arranjo de Flores II","M²","68,72"
montagem_decoracao,4,"ART De Montagens, Lonas",Unidade,"264,87"
montagem_decoracao,5,"Balcão para recepção","Metro linear/dia","47,56"
montagem_decoracao,6,"Banheiro Químico PNE","Diária","211,73"
montagem_decoracao,7,"Banheiro Químico simples (feminino e masculino)","Diária","185,33"
montagem_decoracao,8,"Bebedouro elétrico de chão","Diária","52,80"
montagem_decoracao,9,"Box Truss Q15","metro linear/dia","44,85"
montagem_decoracao,10,"Box Truss Q30","metro linear/dia","44,85"
montagem_decoracao,11,"Cadeira de obeso","Diária","52,81"
montagem_decoracao,12,"Cadeira fixa com ou sem braço de plástico","Diária","8,29"
montagem_decoracao,13,"Cadeira fixa sem braço estofada","Diária","7,28"
montagem_decoracao,14,"Cadeira de rodas","Diária","34,19"
montagem_decoracao,15,"Climatizador de Ar profissional","Diária","185,33"
montagem_decoracao,16,"Coletor de Resíduos Sólidos - Container (1000 litros), preto, 4 rodas","Diária","63,48"
montagem_decoracao,17,"Cordão de isolamento, tipo unifila","Diária","42,31"
montagem_decoracao,18,"Estande Misto - construído em octanorm",m2/dia,"105,44"
montagem_decoracao,19,"Estande Construído em marcenaria com Teto e Tratamento Acústico",m2/dia,"128,45"
montagem_decoracao,20,"Extintor de Incêndio (CO2)","Diária","42,32"
montagem_decoracao,21,"Extintor de Incêndio água","Diária","42,32"
montagem_decoracao,22,"Extintor de Incêndio pó químico seco","Diária","42,32"
montagem_decoracao,23,Frigobar,"Diária","121,70"
montagem_decoracao,24,"Gerador de Energia 500 KVA","Diária","1.324,99"
montagem_decoracao,25,"Gerador de Energia 180 KVA","Diária","1.059,96"
montagem_decoracao,26,"Lixeira para área externa","Diária","50,10"
montagem_decoracao,27,"Lixeira para área interna","Diária","41,80"
montagem_decoracao,28,"Maca para emergência com apoio nas laterais","Diária","79,38"
montagem_decoracao,29,"Mesa redonda de vidro ou madeira, 1,6m diâmetro","Diária","31,66"
montagem_decoracao,30,"Mesa alta tipo bistrô com tampo de vidro","Diária","47,57"
montagem_decoracao,31,"Mesa tipo pranchão","Diária","41,13"
montagem_decoracao,32,"Mesa Plástica Quadrada","Diária","15,23"
montagem_decoracao,33,"Placa de Homenagem",Unidade,0
montagem_decoracao,34,"Praticável",m2/dia,"73,96"
montagem_decoracao,35,Poltrona,"Diária","26,41"
montagem_decoracao,36,"Púlpito em acrílico ou madeira","Diária","148,26"
montagem_decoracao,37,"Saia de Palco","M²","55,60"
montagem_decoracao,38,"Seguro por pessoa - Serviço de Seguro de Responsabilidade Civil",Pessoa,"2,03"
montagem_decoracao,39,"Serviço de Cenografia","M²","264,86"
montagem_decoracao,40,"Serviço de Audiodescrição","Diária",0
montagem_decoracao,41,"Serviços de limpeza, desinfecção e desodorização",posto/dia,"172,01"
montagem_decoracao,42,"Tecido para cenografia","M²","23,52"
montagem_decoracao,43,"Tenda piramidal 10x10","Diária","500,00"
montagem_decoracao,44,"Toalha de mesa redonda","Diária","15,75"
montagem_decoracao,45,"Toalha de mesa retangular","Diária","15,74"
montagem_decoracao,46,"Vaso com plantas decorativas naturais grandes","Diária",0
montagem_decoracao,47,Ventilador,"Diária",0
recursos_humanos,48,"Apoio operacional de eventos","Diária","169,42"
recursos_humanos,49,"Atendente de credenciamento","Diária","158,75"
recursos_humanos,50,"Auxiliar de serviços gerais","Diária","169,41"
recursos_humanos,51,"Assessoria Técnica em Eventos","Diária","185,33"
recursos_humanos,52,"Brigadista de Incêndio","Diária","185,32"
recursos_humanos,53,"Coordenação Geral Eventos","Diária","264,87"
recursos_humanos,54,Enfermeira,"Diária","211,73"
recursos_humanos,55,"Mestre de Cerimônias","Diária",0
recursos_humanos,56,"Serviço de Eletricista","Diária","397,39"
recursos_humanos,57,"Segurança Diurno","Diária","201,23"
recursos_humanos,58,"Segurança Noturno","Diária","201,23"
